id	left	target	right	lemma
inzinking/noun/het_laatste_nieuws_20041214_01_981/9		Inzinking	Ruben Bielen - ZDH Geetbets andquot; Ineengestuikt na kampwissel andquot; GEETBETS Ondanks de openingstreffer van Ruben Bielen haalde ZDH Geetbets	inzinking
inzinking/noun/het_nieuwsblad_20000203_01_170/66	de komst van rode lantaarn Overpelt is zelfs de vierde plaats in het verschiet . \" We kenden een kleine	inzinking	, maar we zijn er weer bovenop . Normaal mag de komst van Overpelt ( voorlaatste in de stand )	inzinking
dip/noun/nrc_handelsblad_20000804_98/72	, dan is er zoveel ` goodwill ' dat het zo'n favoriet snel wordt vergeven . Waarom zouden ze geen	dip	mogen hebben ? Er staan genoeg hoogtepunten tegenover . Musea houden niet van de ` dips ' in een oeuvre	dip
inzinking/noun/de_standaard_20020122_01_48/759	tot structurele maatregelen moeten overgaan . Als de boekingen voor de zomer blijven binnenstromen , zal het bij een tijdelijke	inzinking	gebleven zijn , zonder langetermijnimpact voor het personeel . www.thomascook.bewww.jetair.bewww.tuitravel.bewww.usitconnections.bewww.travel-magazine.be	inzinking
dip/noun/parool_20011120_40/420	nagaan , dan moet je voortdurend naar de intraday-grafieken kijken . Maar , ja , ik zie nu inderdaad een	dip	, even voor half tien . \" Na een telefoontje met Duitsland : \" Het schijnt dat een handelaar een	dip
dip/noun/de_standaard_20030415_01_38/56	als gevolg van de invoering van de belasting op verloren drankverpakking . De brouwer verwacht dat het om een tijdelijke	dip	gaat . In de Verenigde Staten start Beck's een opvallende marketingactie , terwijl het merk in België de strijd moet	dip
dip/noun/nrc_handelsblad_20020810_117/539	procentpunt aan de economosche groei toe . Roach was de eerste die dit jaar een Amerikaanse recessie met een dubbele	dip	voorspelde . Hij voorziet nu dat na de investeringszeepbel , de consumentenzeepbel én de onroerend-goedzeepbel nog moeten barsten , en	dip
dip/noun/algemeen_dagblad_20010724_85/528	blijft de markt gestaag groeien , jaarlijks drie tot vier procent . \" We hadden door de mkz-affaire een kleine	dip	, maar we merken verder niets van de afvlakkende economisch groei . De mensen blijven lekker op pad gaan .	dip
inzinking/noun/parool_20031205_64/156	met 1,8 procent . En Nederland , met zijn distributie-economie zelfs met een magere één procent . Dat de conjuncturele	inzinking	in de VS van zo korte duur is geweest , is te verklaren uit de indrukwekkende groei van de arbeidsproductiviteit	inzinking
dip/noun/nrc_handelsblad_20010721_9/1147	van mondialisering zal ondervinden via de schaduwzijden van een vergrote kwetsbaarheid , is controversiëler . Immers : na de tijdelijke	dip	in het begin van de jaren negentig van de vorige eeuw heeft het nieuw-economische hosannavirus om zich heen gegrepen in	dip
